"ID","TIME","CENSOR","ABUSED","BLACK","ABLACK","D8","D9","D10","D11","D12","D13","D14","D15","D16","D17","D18","PERIOD","EVENT"
1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
1,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0
1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0
1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0
1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0
1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1
2,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
2,29,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
2,29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
2,29,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0
2,29,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0
2,29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0
2,29,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0
2,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0
2,29,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
2,29,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0
2,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0
3,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
3,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
3,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
3,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0
3,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0
3,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0
3,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0
3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0
3,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1
4,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
4,29,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
4,29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
4,29,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0
4,29,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0
4,29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0
4,29,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0
4,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0
4,29,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
4,29,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0
4,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0
5,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
5,23,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
5,23,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
5,23,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0
5,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0
5,23,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0
5,23,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0
5,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0
