"id","stdate","enddate","entry","exit","censor","parttime","age"
1,1/13/1986,1/12/1990,3.9671457905544147,3.997262149212868,0,0,31.15400410677618
2,3/01/1986,8/31/1992,3.838466803559206,6.50239561943874,0,1,29.478439425051334
3,3/01/1986,9/30/1992,3.838466803559206,6.584531143052704,1,0,37.440109514031484
4,3/17/1986,9/30/1992,3.7946611909650922,6.54072553045859,1,1,30.546201232032853
5,4/01/1986,12/20/1990,3.753593429158111,4.720054757015743,0,0,40.766598220396986
6,4/17/1986,9/30/1992,3.7097878165639973,6.455852156057495,1,0,31.98631074606434
7,6/01/1986,9/30/1992,3.586584531143053,6.33264887063655,1,1,33.40177960301163
8,6/10/1986,12/01/1990,3.561943874058864,4.476386036960986,0,0,30.743326488706366
9,6/23/1986,6/27/1990,3.5263518138261465,4.010951403148528,0,0,40.709103353867214
10,6/30/1986,6/29/1990,3.5071868583162216,3.997262149212868,0,0,32.34770704996578
11,6/30/1986,6/29/1990,3.5071868583162216,3.997262149212868,0,0,34.417522245037645
12,6/30/1986,9/30/1992,3.5071868583162216,6.253251197809719,1,0,29.87542778918549
13,7/01/1986,7/01/1990,3.5044490075290895,4,0,0,34.56810403832991
14,7/01/1986,9/30/1992,3.5044490075290895,6.250513347022587,1,0,28.632443531827516
16,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,28.870636550308006
17,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,29.82340862422998
18,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,31.980835044490075
19,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,30.455852156057496
20,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,29.251197809719372
21,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,26.8145106091718
22,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,30.308008213552363
23,7/01/1986,12/01/1990,3.5044490075290895,4.418891170431212,0,0,33.79876796714579
24,7/01/1986,9/30/1992,3.5044490075290895,6.250513347022587,1,0,51.60301163586585
25,7/01/1986,9/30/1992,3.5044490075290895,6.250513347022587,1,0,29.34428473648186
26,7/01/1986,7/31/1990,3.5044490075290895,4.082135523613963,0,0,29.79876796714579
27,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,28.98836413415469
28,7/01/1986,8/15/1990,3.5044490075290895,4.123203285420945,0,0,28.555783709787818
29,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,29.048596851471594
30,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,30.099931553730322
32,7/01/1986,9/30/1992,3.5044490075290895,6.250513347022587,1,0,28.59958932238193
33,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,30.420260095824776
34,7/01/1986,6/30/1991,3.5044490075290895,4.996577686516085,0,0,27.20602327173169
35,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,28.695414099931554
36,7/01/1986,10/01/1990,3.5044490075290895,4.251882272416153,0,0,31.857631759069132
37,7/01/1986,6/30/1990,3.5044490075290895,3.997262149212868,0,0,29.09240246406571
38,7/02/1986,7/04/1990,3.5017111567419574,4.005475701574264,0,0,27.397672826830938
39,7/02/1986,7/06/1990,3.5017111567419574,4.010951403148528,0,0,33.242984257357975
40,7/05/1986,7/04/1990,3.4934976043805612,3.997262149212868,0,0,31.707049965776864
41,7/07/1986,9/30/1992,3.488021902806297,6.234086242299795,1,1,28.78576317590691
42,7/07/1986,7/05/1990,3.488021902806297,3.994524298425736,0,0,30.951403148528406
43,7/07/1986,7/06/1990,3.488021902806297,3.997262149212868,0,0,30.209445585215605
44,7/07/1986,7/06/1990,3.488021902806297,3.997262149212868,0,0,33.26488706365503
45,7/07/1986,4/30/1991,3.488021902806297,4.813141683778234,0,0,31.652292950034223
46,7/07/1986,9/30/1992,3.488021902806297,6.234086242299795,1,0,29.19917864476386
48,7/07/1986,7/06/1990,3.488021902806297,3.997262149212868,0,0,30.48870636550308
49,7/07/1986,7/06/1990,3.488021902806297,3.997262149212868,0,0,30.217659137577
50,7/07/1986,12/31/1991,3.488021902806297,5.4839151266255985,0,0,28.78302532511978
51,7/07/1986,7/31/1991,3.488021902806297,5.065023956194388,0,0,27.789185489390828
52,7/07/1986,7/14/1990,3.488021902806297,4.0191649555099245,0,0,28.876112251882272
53,7/07/1986,10/31/1991,3.488021902806297,5.316906228610541,0,1,29.976728268309376
54,7/07/1986,7/06/1990,3.488021902806297,3.997262149212868,0,0,29.4072553045859
55,7/08/1986,7/07/1990,3.485284052019165,3.997262149212868,0,0,29.17453798767967
56,7/09/1986,7/08/1990,3.482546201232033,3.997262149212868,0,0,28.566735112936346
57,7/14/1986,9/30/1992,3.468856947296372,6.2149212867898695,1,0,29.481177275838466
58,7/14/1986,9/30/1992,3.468856947296372,6.2149212867898695,1,0,31.600273785078713
59,7/14/1986,9/30/1992,3.468856947296372,6.2149212867898695,1,0,33.4154688569473
60,7/14/1986,7/13/1990,3.468856947296372,3.997262149212868,0,0,29.259411362080765
61,7/14/1986,7/13/1990,3.468856947296372,3.997262149212868,0,0,34.60917180013689
62,7/14/1986,7/13/1990,3.468856947296372,3.997262149212868,0,0,30.78986995208761
64,7/14/1986,7/13/1991,3.468856947296372,4.996577686516085,0,0,29.541409993155373
65,7/14/1986,7/13/1990,3.468856947296372,3.997262149212868,0,0,30.26420260095825
66,7/14/1986,9/30/1992,3.468856947296372,6.2149212867898695,1,0,28.791238877481177
67,7/14/1986,7/13/1990,3.468856947296372,3.997262149212868,0,0,28.966461327857633
68,7/14/1986,7/13/1990,3.468856947296372,3.997262149212868,0,0,31.76728268309377
69,7/14/1986,11/30/1991,3.468856947296372,5.379876796714579,0,0,29.437371663244353
