"ID","PERIOD","EVENT","D1","D2","D3","D4","D5","D6","D7","D8","D9"
111,1,0,1,0,0,0,0,0,0,0,0
111,2,0,0,1,0,0,0,0,0,0,0
111,3,0,0,0,1,0,0,0,0,0,0
111,4,0,0,0,0,1,0,0,0,0,0
111,5,1,0,0,0,0,1,0,0,0,0
211,1,0,1,0,0,0,0,0,0,0,0
211,2,0,0,1,0,0,0,0,0,0,0
211,3,0,0,0,1,0,0,0,0,0,0
211,4,0,0,0,0,1,0,0,0,0,0
211,5,0,0,0,0,0,1,0,0,0,0
211,6,1,0,0,0,0,0,1,0,0,0
311,1,0,1,0,0,0,0,0,0,0,0
311,2,0,0,1,0,0,0,0,0,0,0
311,3,0,0,0,1,0,0,0,0,0,0
311,4,0,0,0,0,1,0,0,0,0,0
311,5,0,0,0,0,0,1,0,0,0,0
311,6,0,0,0,0,0,0,1,0,0,0
311,7,0,0,0,0,0,0,0,1,0,0
311,8,0,0,0,0,0,0,0,0,1,0
411,1,0,1,0,0,0,0,0,0,0,0
411,2,0,0,1,0,0,0,0,0,0,0
411,3,0,0,0,1,0,0,0,0,0,0
411,4,0,0,0,0,1,0,0,0,0,0
411,5,0,0,0,0,0,1,0,0,0,0
411,6,0,0,0,0,0,0,1,0,0,0
411,7,0,0,0,0,0,0,0,1,0,0
411,8,0,0,0,0,0,0,0,0,1,0
411,9,1,0,0,0,0,0,0,0,0,1
511,1,0,1,0,0,0,0,0,0,0,0
511,2,0,0,1,0,0,0,0,0,0,0
511,3,1,0,0,1,0,0,0,0,0,0
611,1,0,1,0,0,0,0,0,0,0,0
611,2,0,0,1,0,0,0,0,0,0,0
611,3,0,0,0,1,0,0,0,0,0,0
611,4,0,0,0,0,1,0,0,0,0,0
611,5,0,0,0,0,0,1,0,0,0,0
611,6,1,0,0,0,0,0,1,0,0,0
711,1,0,1,0,0,0,0,0,0,0,0
711,2,0,0,1,0,0,0,0,0,0,0
711,3,0,0,0,1,0,0,0,0,0,0
711,4,0,0,0,0,1,0,0,0,0,0
711,5,1,0,0,0,0,1,0,0,0,0
811,1,0,1,0,0,0,0,0,0,0,0
811,2,0,0,1,0,0,0,0,0,0,0
811,3,0,0,0,1,0,0,0,0,0,0
811,4,0,0,0,0,1,0,0,0,0,0
811,5,0,0,0,0,0,1,0,0,0,0
911,1,0,1,0,0,0,0,0,0,0,0
911,2,0,0,1,0,0,0,0,0,0,0
911,3,0,0,0,1,0,0,0,0,0,0
911,4,0,0,0,0,1,0,0,0,0,0
911,5,0,0,0,0,0,1,0,0,0,0
911,6,0,0,0,0,0,0,1,0,0,0
911,7,1,0,0,0,0,0,0,1,0,0
1011,1,0,1,0,0,0,0,0,0,0,0
1011,2,0,0,1,0,0,0,0,0,0,0
1011,3,0,0,0,1,0,0,0,0,0,0
1011,4,0,0,0,0,1,0,0,0,0,0
1011,5,0,0,0,0,0,1,0,0,0,0
1011,6,0,0,0,0,0,0,1,0,0,0
1011,7,0,0,0,0,0,0,0,1,0,0
1011,8,1,0,0,0,0,0,0,0,1,0
1211,1,0,1,0,0,0,0,0,0,0,0
1211,2,0,0,1,0,0,0,0,0,0,0
1211,3,0,0,0,1,0,0,0,0,0,0
1211,4,0,0,0,0,1,0,0,0,0,0
1211,5,1,0,0,0,0,1,0,0,0,0
1411,1,0,1,0,0,0,0,0,0,0,0
1411,2,0,0,1,0,0,0,0,0,0,0
1411,3,0,0,0,1,0,0,0,0,0,0
1411,4,0,0,0,0,1,0,0,0,0,0
1411,5,0,0,0,0,0,1,0,0,0,0
1411,6,1,0,0,0,0,0,1,0,0,0
1511,1,0,1,0,0,0,0,0,0,0,0
1511,2,0,0,1,0,0,0,0,0,0,0
1511,3,0,0,0,1,0,0,0,0,0,0
1711,1,0,1,0,0,0,0,0,0,0,0
1711,2,0,0,1,0,0,0,0,0,0,0
1711,3,0,0,0,1,0,0,0,0,0,0
1711,4,0,0,0,0,1,0,0,0,0,0
1711,5,0,0,0,0,0,1,0,0,0,0
1711,6,0,0,0,0,0,0,1,0,0,0
1711,7,1,0,0,0,0,0,0,1,0,0
1811,1,0,1,0,0,0,0,0,0,0,0
1811,2,0,0,1,0,0,0,0,0,0,0
1811,3,0,0,0,1,0,0,0,0,0,0
1811,4,0,0,0,0,1,0,0,0,0,0
1811,5,0,0,0,0,0,1,0,0,0,0
1811,6,0,0,0,0,0,0,1,0,0,0
1811,7,1,0,0,0,0,0,0,1,0,0
1911,1,0,1,0,0,0,0,0,0,0,0
1911,2,0,0,1,0,0,0,0,0,0,0
1911,3,0,0,0,1,0,0,0,0,0,0
1911,4,0,0,0,0,1,0,0,0,0,0
1911,5,0,0,0,0,0,1,0,0,0,0
1911,6,0,0,0,0,0,0,1,0,0,0
1911,7,1,0,0,0,0,0,0,1,0,0
2011,1,1,1,0,0,0,0,0,0,0,0
2111,1,0,1,0,0,0,0,0,0,0,0
2111,2,0,0,1,0,0,0,0,0,0,0
2111,3,0,0,0,1,0,0,0,0,0,0
2111,4,0,0,0,0,1,0,0,0,0,0
2111,5,0,0,0,0,0,1,0,0,0,0
2111,6,0,0,0,0,0,0,1,0,0,0
2111,7,0,0,0,0,0,0,0,1,0,0
2111,8,1,0,0,0,0,0,0,0,1,0
2411,1,0,1,0,0,0,0,0,0,0,0
2411,2,0,0,1,0,0,0,0,0,0,0
2411,3,0,0,0,1,0,0,0,0,0,0
2411,4,0,0,0,0,1,0,0,0,0,0
2411,5,0,0,0,0,0,1,0,0,0,0
2411,6,0,0,0,0,0,0,1,0,0,0
2411,7,1,0,0,0,0,0,0,1,0,0
2812,1,0,1,0,0,0,0,0,0,0,0
2812,2,0,0,1,0,0,0,0,0,0,0
2812,3,0,0,0,1,0,0,0,0,0,0
2812,4,0,0,0,0,1,0,0,0,0,0
2812,5,1,0,0,0,0,1,0,0,0,0
2912,1,0,1,0,0,0,0,0,0,0,0
2912,2,0,0,1,0,0,0,0,0,0,0
2912,3,0,0,0,1,0,0,0,0,0,0
2912,4,0,0,0,0,1,0,0,0,0,0
2912,5,1,0,0,0,0,1,0,0,0,0
3012,1,0,1,0,0,0,0,0,0,0,0
3012,2,0,0,1,0,0,0,0,0,0,0
3012,3,0,0,0,1,0,0,0,0,0,0
3012,4,0,0,0,0,1,0,0,0,0,0
3012,5,0,0,0,0,0,1,0,0,0,0
3012,6,0,0,0,0,0,0,1,0,0,0
3012,7,0,0,0,0,0,0,0,1,0,0
3012,8,0,0,0,0,0,0,0,0,1,0
3012,9,0,0,0,0,0,0,0,0,0,1
3212,1,0,1,0,0,0,0,0,0,0,0
3212,2,0,0,1,0,0,0,0,0,0,0
3212,3,0,0,0,1,0,0,0,0,0,0
3212,4,0,0,0,0,1,0,0,0,0,0
3212,5,0,0,0,0,0,1,0,0,0,0
3212,6,0,0,0,0,0,0,1,0,0,0
3212,7,0,0,0,0,0,0,0,1,0,0
3212,8,1,0,0,0,0,0,0,0,1,0
3312,1,0,1,0,0,0,0,0,0,0,0
3312,2,0,0,1,0,0,0,0,0,0,0
3312,3,0,0,0,1,0,0,0,0,0,0
3312,4,0,0,0,0,1,0,0,0,0,0
3312,5,0,0,0,0,0,1,0,0,0,0
3312,6,0,0,0,0,0,0,1,0,0,0
3312,7,1,0,0,0,0,0,0,1,0,0
3412,1,0,1,0,0,0,0,0,0,0,0
3412,2,0,0,1,0,0,0,0,0,0,0
3412,3,0,0,0,1,0,0,0,0,0,0
3412,4,0,0,0,0,1,0,0,0,0,0
3412,5,0,0,0,0,0,1,0,0,0,0
3412,6,1,0,0,0,0,0,1,0,0,0
3512,1,0,1,0,0,0,0,0,0,0,0
3512,2,0,0,1,0,0,0,0,0,0,0
3512,3,0,0,0,1,0,0,0,0,0,0
3512,4,1,0,0,0,1,0,0,0,0,0
3712,1,0,1,0,0,0,0,0,0,0,0
3712,2,0,0,1,0,0,0,0,0,0,0
3712,3,0,0,0,1,0,0,0,0,0,0
3712,4,0,0,0,0,1,0,0,0,0,0
3712,5,0,0,0,0,0,1,0,0,0,0
3712,6,0,0,0,0,0,0,1,0,0,0
3712,7,1,0,0,0,0,0,0,1,0,0
3912,1,0,1,0,0,0,0,0,0,0,0
3912,2,1,0,1,0,0,0,0,0,0,0
4012,1,0,1,0,0,0,0,0,0,0,0
4012,2,0,0,1,0,0,0,0,0,0,0
4012,3,0,0,0,1,0,0,0,0,0,0
4012,4,0,0,0,0,1,0,0,0,0,0
4012,5,0,0,0,0,0,1,0,0,0,0
4012,6,0,0,0,0,0,0,1,0,0,0
4012,7,0,0,0,0,0,0,0,1,0,0
4012,8,0,0,0,0,0,0,0,0,1,0
4012,9,1,0,0,0,0,0,0,0,0,1
5012,1,0,1,0,0,0,0,0,0,0,0
5012,2,0,0,1,0,0,0,0,0,0,0
