"id","wave","agegrp","age","piat"
1,1,6.5,6,18
1,2,8.5,8.33333333333333,35
1,3,10.5,10.3333333333333,59
2,1,6.5,6,18
2,2,8.5,8.5,25
2,3,10.5,10.5833333333333,28
3,1,6.5,6.08333333333333,18
3,2,8.5,8.41666666666667,23
3,3,10.5,10.4166666666667,32
4,1,6.5,6,18
4,2,8.5,8.5,31
4,3,10.5,10.6666666666667,50
5,1,6.5,6,18
5,2,8.5,8.16666666666667,33
5,3,10.5,10.25,53
6,1,6.5,6,18
6,2,8.5,8.5,28
6,3,10.5,10.5,31
7,1,6.5,6.08333333333333,17
7,2,8.5,8.5,28
7,3,10.5,10.5,28
8,1,6.5,6,17
8,2,8.5,8.41666666666667,29
8,3,10.5,10.5833333333333,41
9,1,6.5,6.16666666666667,28
9,2,8.5,8.75,26
9,3,10.5,10.8333333333333,26
10,1,6.5,6.16666666666667,16
10,2,8.5,8.41666666666667,20
10,3,10.5,10.4166666666667,21
11,1,6.5,6.16666666666667,18
11,2,8.5,8.5,28
11,3,10.5,10.5833333333333,42
12,1,6.5,6.08333333333333,18
12,2,8.5,8.25,31
12,3,10.5,10.5,57
13,1,6.5,6.08333333333333,18
13,2,8.5,8.58333333333333,41
13,3,10.5,10.3333333333333,49
14,1,6.5,6.16666666666667,18
14,2,8.5,8.5,31
14,3,10.5,10.5833333333333,52
15,1,6.5,6.16666666666667,18
15,2,8.5,8.41666666666667,33
15,3,10.5,10.5833333333333,44
16,1,6.5,6.16666666666667,18
16,2,8.5,8.58333333333333,43
16,3,10.5,10.5,46
17,1,6.5,6.25,37
17,2,8.5,8.5,28
17,3,10.5,10.5833333333333,29
18,1,6.5,6.25,16
18,2,8.5,8.5,27
18,3,10.5,10.6666666666667,27
19,1,6.5,6.16666666666667,18
19,2,8.5,8.58333333333333,18
19,3,10.5,10.6666666666667,26
20,1,6.5,6.25,18
20,2,8.5,8.75,38
20,3,10.5,10.8333333333333,47
21,1,6.5,6.16666666666667,18
21,2,8.5,8.58333333333333,22
21,3,10.5,10.6666666666667,26
22,1,6.5,6.16666666666667,22
22,2,8.5,8.5,27
22,3,10.5,10.8333333333333,45
23,1,6.5,6.33333333333333,14
23,2,8.5,8.75,37
23,3,10.5,10.75,37
24,1,6.5,6.33333333333333,18
24,2,8.5,8.75,40
24,3,10.5,10.8333333333333,35
25,1,6.5,6.25,29
25,2,8.5,8.58333333333333,31
25,3,10.5,10.6666666666667,43
26,1,6.5,6.25,17
26,2,8.5,8.75,23
26,3,10.5,10.6666666666667,21
27,1,6.5,6.25,19
27,2,8.5,9.16666666666667,36
27,3,10.5,10.9166666666667,57
28,1,6.5,6.33333333333333,4
28,2,8.5,9.08333333333333,27
28,3,10.5,10.8333333333333,28
29,1,6.5,6.25,18
29,2,8.5,8.66666666666667,24
29,3,10.5,10.6666666666667,45
30,1,6.5,6.25,18
30,2,8.5,8.41666666666667,44
30,3,10.5,10.5,51
31,1,6.5,6.33333333333333,18
31,2,8.5,8.83333333333333,31
31,3,10.5,10.9166666666667,51
32,1,6.5,6.33333333333333,24
32,2,8.5,8.66666666666667,39
32,3,10.5,10.5833333333333,48
33,1,6.5,6.33333333333333,18
33,2,8.5,8.91666666666667,34
33,3,10.5,10.75,29
34,1,6.5,6.25,17
34,2,8.5,8.5,36
34,3,10.5,10.5833333333333,37
35,1,6.5,6.33333333333333,18
35,2,8.5,8.66666666666667,21
35,3,10.5,10.6666666666667,28
36,1,6.5,6.41666666666667,16
36,2,8.5,8.75,38
36,3,10.5,10.8333333333333,47
37,1,6.5,6.41666666666667,18
37,2,8.5,8.83333333333333,40
37,3,10.5,10.9166666666667,47
38,1,6.5,6.41666666666667,22
38,2,8.5,8.83333333333333,36
38,3,10.5,10.8333333333333,34
39,1,6.5,6.41666666666667,18
39,2,8.5,8.66666666666667,41
39,3,10.5,10.8333333333333,48
40,1,6.5,6.33333333333333,19
40,2,8.5,8.83333333333333,40
40,3,10.5,10.8333333333333,46
41,1,6.5,6.33333333333333,18
41,2,8.5,8.75,28
41,3,10.5,10.8333333333333,36
42,1,6.5,6.33333333333333,18
42,2,8.5,8.83333333333333,28
42,3,10.5,10.8333333333333,47
43,1,6.5,6.41666666666667,20
43,2,8.5,8.91666666666667,36
43,3,10.5,11,45
44,1,6.5,6.5,18
44,2,8.5,8.75,28
44,3,10.5,10.9166666666667,41
45,1,6.5,6.41666666666667,16
45,2,8.5,8.83333333333333,34
45,3,10.5,10.9166666666667,43
46,1,6.5,6.41666666666667,25
46,2,8.5,8.91666666666667,45
46,3,10.5,11.0833333333333,49
47,1,6.5,6.41666666666667,18
47,2,8.5,8.83333333333333,24
47,3,10.5,11.0833333333333,31
48,1,6.5,6.5,17
48,2,8.5,8.91666666666667,27
48,3,10.5,10.9166666666667,29
49,1,6.5,6.5,19
49,2,8.5,8.75,32
49,3,10.5,10.6666666666667,48
50,1,6.5,6.5,43
50,2,8.5,8.91666666666667,55
50,3,10.5,10.9166666666667,61
51,1,6.5,6.41666666666667,20
51,2,8.5,8.75,24
51,3,10.5,10.8333333333333,32
52,1,6.5,6.41666666666667,18
52,2,8.5,8.75,46
52,3,10.5,11,47
53,1,6.5,6.41666666666667,18
53,2,8.5,8.83333333333333,29
53,3,10.5,10.8333333333333,40
54,1,6.5,6.5,28
54,2,8.5,8.91666666666667,56
54,3,10.5,10.9166666666667,61
55,1,6.5,6.5,18
55,2,8.5,8.91666666666667,20
